time,value
2024-02-23T15:43:01.892894692Z,185
2024-02-23T15:43:12.735929602Z,186
2024-02-23T15:43:23.588555281Z,187
2024-02-23T15:43:34.423283512Z,188
2024-02-23T15:43:45.248091521Z,190
2024-02-23T15:43:56.092161356Z,191
2024-02-23T15:44:06.923901708Z,192
2024-02-23T15:44:17.761309174Z,192
2024-02-23T15:44:28.595784942Z,192
2024-02-23T15:44:39.424530347Z,192
2024-02-23T15:44:50.268403814Z,191
2024-02-23T15:45:01.099045287Z,191
2024-02-23T15:45:11.93227064Z,190
2024-02-23T15:45:22.782591188Z,189
2024-02-23T15:45:33.607369673Z,187
2024-02-23T15:45:44.438238271Z,186
2024-02-23T15:45:55.281291224Z,185
2024-02-23T15:46:06.116968168Z,185
2024-02-23T15:46:16.944731678Z,183
2024-02-23T15:46:27.798935164Z,182
2024-02-23T15:46:38.630485797Z,180
2024-02-23T15:46:49.464316586Z,178
2024-02-23T15:47:00.309653491Z,176
2024-02-23T15:47:11.142656444Z,175
2024-02-23T15:47:21.992884988Z,173
2024-02-23T15:47:32.823367434Z,173
2024-02-23T15:47:43.65555336Z,172
2024-02-23T15:47:54.492653157Z,172
2024-02-23T15:48:05.32981502Z,172
2024-02-23T15:48:16.161719773Z,172
2024-02-23T15:48:27.014508041Z,171
2024-02-23T15:48:37.852093704Z,171
2024-02-23T15:48:48.678568859Z,171
2024-02-23T15:48:59.527640059Z,171
2024-02-23T15:49:10.359513855Z,170
2024-02-23T15:49:21.20597445Z,169
2024-02-23T15:49:32.043592194Z,168
2024-02-23T15:49:42.875095339Z,168
2024-02-23T15:49:53.719516Z,167
2024-02-23T15:50:04.547771312Z,166
2024-02-23T15:50:15.375436992Z,166
2024-02-23T15:50:26.223133478Z,166
2024-02-23T15:50:37.057587339Z,166
2024-02-23T15:50:47.875654932Z,165
2024-02-23T15:50:58.713758718Z,165
2024-02-23T15:51:09.5420488Z,165
2024-02-23T15:51:20.374005977Z,164
2024-02-23T15:51:31.21963731Z,164
2024-02-23T15:51:42.052082436Z,163
2024-02-23T15:51:52.885105064Z,163
2024-02-23T15:52:03.723797014Z,162
2024-02-23T15:52:14.551630488Z,162
2024-02-23T15:52:25.397948311Z,161
2024-02-23T15:52:36.227190789Z,161
2024-02-23T15:52:47.051008059Z,161
2024-02-23T15:52:57.898107786Z,161
2024-02-23T15:53:08.741826Z,161
2024-02-23T15:53:19.571110201Z,160
2024-02-23T15:53:30.413792291Z,160
2024-02-23T15:53:41.249444037Z,160
2024-02-23T15:53:52.083306556Z,159
2024-02-23T15:54:02.935078593Z,158
2024-02-23T15:54:13.771066287Z,158
2024-02-23T15:54:24.61159939Z,159
2024-02-23T15:54:35.448220632Z,159
2024-02-23T15:54:46.275685472Z,159
2024-02-23T15:54:57.129916118Z,158
2024-02-23T15:55:07.965894281Z,158
2024-02-23T15:55:18.789024561Z,157
2024-02-23T15:55:29.641704447Z,157
2024-02-23T15:55:40.47060638Z,156
2024-02-23T15:55:51.308501315Z,156
2024-02-23T15:56:02.153440261Z,155
2024-02-23T15:56:12.987316402Z,155
2024-02-23T15:56:23.819458747Z,154
2024-02-23T15:56:34.661200072Z,153
2024-02-23T15:56:45.491497471Z,154
2024-02-23T15:56:56.335924129Z,153
2024-02-23T15:57:07.170024655Z,153
2024-02-23T15:57:17.997928296Z,153
2024-02-23T15:57:28.842281475Z,152
2024-02-23T15:57:39.672596577Z,151
2024-02-23T15:57:50.512727166Z,148
2024-02-23T15:58:01.369240086Z,146
2024-02-23T15:58:12.196919451Z,145
2024-02-23T15:58:23.044602275Z,145
2024-02-23T15:58:33.86920316Z,144
2024-02-23T15:58:44.700986747Z,145
2024-02-23T15:58:55.535184004Z,145
2024-02-23T15:59:06.373488035Z,146
2024-02-23T15:59:17.204457946Z,147
2024-02-23T15:59:28.04369081Z,148
2024-02-23T15:59:38.881652172Z,149
2024-02-23T15:59:49.706022335Z,150
2024-02-23T16:00:00.551096889Z,151
2024-02-23T16:00:11.383620296Z,152
2024-02-23T16:00:22.210718062Z,152
2024-02-23T16:00:33.062532475Z,153
2024-02-23T16:00:43.895761232Z,154
2024-02-23T16:00:54.720853595Z,154
2024-02-23T16:01:05.567645761Z,154
2024-02-23T16:01:16.396791948Z,155
2024-02-23T16:01:27.226092109Z,155
2024-02-23T16:01:38.065544495Z,155
2024-02-23T16:01:48.899706577Z,156
2024-02-23T16:01:59.760953251Z,157
2024-02-23T16:02:10.581232205Z,158
2024-02-23T16:02:21.411649663Z,160
2024-02-23T16:02:32.260887713Z,161
2024-02-23T16:02:43.087705877Z,163
2024-02-23T16:02:53.91999005Z,165
2024-02-23T16:03:04.767783085Z,167
2024-02-23T16:03:15.592162686Z,169
2024-02-23T16:03:26.421844807Z,172
2024-02-23T16:03:37.270019917Z,174
2024-02-23T16:03:48.107103759Z,176
2024-02-23T16:03:58.94140047Z,177
2024-02-23T16:04:09.784698202Z,179
2024-02-23T16:04:20.620432614Z,181
2024-02-23T16:04:31.457816431Z,183
2024-02-23T16:04:42.289306678Z,185
2024-02-23T16:04:53.125423438Z,186
2024-02-23T16:05:03.973634598Z,187
2024-02-23T16:05:14.802724822Z,188
2024-02-23T16:05:25.632032489Z,189
2024-02-23T16:05:36.478775651Z,190
2024-02-23T16:05:47.299833069Z,191
2024-02-23T16:05:58.120879445Z,192
2024-02-23T16:06:08.961808047Z,193
2024-02-23T16:06:19.789390877Z,193
2024-02-23T16:06:30.618940704Z,194
2024-02-23T16:06:41.47042353Z,195
2024-02-23T16:06:52.314855858Z,196
2024-02-23T16:07:03.1383195Z,197
2024-02-23T16:07:13.977075563Z,197
2024-02-23T16:07:24.807946724Z,197
2024-02-23T16:07:35.655145714Z,198
2024-02-23T16:07:46.486565607Z,199
2024-02-23T16:07:57.310614319Z,199
2024-02-23T16:08:08.159690236Z,200
2024-02-23T16:08:18.989300217Z,200
2024-02-23T16:08:29.817860273Z,201
2024-02-23T16:08:40.66721592Z,202
2024-02-23T16:08:51.501460102Z,202
2024-02-23T16:09:02.337533895Z,202
2024-02-23T16:09:13.165790249Z,203
2024-02-23T16:09:23.997296806Z,203
2024-02-23T16:09:34.834568256Z,204
2024-02-23T16:09:45.677118975Z,204
2024-02-23T16:09:56.50857004Z,205
2024-02-23T16:10:07.360617136Z,205
2024-02-23T16:10:18.196062389Z,206
2024-02-23T16:10:29.026540831Z,207
2024-02-23T16:10:39.870124981Z,207
2024-02-23T16:10:50.728690398Z,207
2024-02-23T16:11:01.537625363Z,208
2024-02-23T16:11:12.387845768Z,208
